order,mesh_level,cells_per_axis,nelements,h,dt,nsteps,l2_E,l2_H,l2_total,rel_total,rate_E,rate_H,rate_total
1,1,2,48,0.5503212081491045,0.006711409395973154,149,0.37924781218447395,0.418624466402518,0.5648675481185859,0.5650291875105321,,,
1,2,3,162,0.36688080543273643,0.004048582995951417,247,0.24610456930521146,0.28708177620235104,0.3781314655783097,0.3178851528637092,1.0665118075043187,0.9303072921710839,0.989849286264896
1,3,4,384,0.2751606040745521,0.003003003003003003,333,0.16603953010319117,0.17697631711309325,0.24267208816796929,0.18983233076448455,1.3679358869170828,1.6815479100001622,1.541739543512223
1,4,5,750,0.22012848325964163,0.002386634844868735,419,0.13309743678799443,0.10489428498352195,0.1694630894966172,0.12787111399666964,0.9910410784098693,2.3440645522426773,1.609170224685107
2,1,2,48,0.5503212081491045,0.004016064257028112,249,0.1109887539316891,0.11475643324948494,0.1596481834267228,0.11573836422745691,,,
2,2,3,162,0.36688080543273643,0.0024330900243309003,411,0.04171524344242223,0.042584590153160136,0.05961215357603829,0.04238919497986404,2.413431509875307,2.4448946071605597,2.429587771128718
2,3,4,384,0.2751606040745521,0.0018018018018018018,555,0.0188438994030279,0.01736581543237913,0.02562545785625873,0.018153400685565316,2.7623458875903095,3.1179864744979784,2.934743761709122
2,4,5,750,0.22012848325964163,0.0014326647564469914,698,0.010019469969991575,0.009934533529345792,0.014109739009820795,0.009984958824858439,2.8307294638073386,2.502813626225151,2.674157655355395
4,1,2,48,0.5503212081491045,0.0022371364653243847,447,0.0033112624226853847,0.0030578863138872336,0.004507230584355224,0.0031857209254969147,,,
4,2,3,162,0.36688080543273643,0.0013531799729364006,739,0.0005077523281763989,0.0004737859371492032,0.0006944678113555028,0.0004910415259467471,4.624543441623275,4.598974268283127,4.612708546764557
4,3,4,384,0.2751606040745521,0.001001001001001001,999,0.00013307201458916774,0.00013357754924072122,0.00018855005364087535,0.00013332394429923106,4.654802885554872,4.400946493233757,4.5320248629769715
4,4,5,750,0.22012848325964163,0.0007968127490039841,1255,4.603970260176896e-5,5.052728300479497e-5,6.835686171487083e-5,4.83354932510616e-5,4.756518009317357,4.3566966140630985,4.546945467323914
