order,mesh_level,cells_per_axis,nelements,h,dt,nsteps,l2_E,l2_H,l2_total,rel_total,rate_E,rate_H,rate_total
1,1,2,48,0.5503212081491045,0.005,1,0.00012686380427352049,0.010584917173403818,0.010585677398856146,0.010598812304202052,,,
1,2,3,162,0.36688080543273643,0.0025,2,0.00016665208813190153,0.0076090938166577535,0.007610918579854732,0.006384859173973346,-0.6727933564225635,0.8140922270205841,0.8136779725806373
1,3,4,384,0.2751606040745521,0.0025,2,0.00018285286628543884,0.00575906743846463,0.005761969535800441,0.00449654064278667,-0.32248615484803655,0.9683207781584346,0.9674030766048354
1,4,5,750,0.22012848325964163,0.0016666666666666668,3,0.00019245015914033458,0.004678783027705694,0.0046827393354851605,0.003533943674421995,-0.22924877847735922,0.9309590980029593,0.9294289776789527
2,1,2,48,0.5503212081491045,0.0025,2,8.77401065513977e-5,0.0033710309955478353,0.003372172637817032,0.0024444403724771585,,,
2,2,3,162,0.36688080543273643,0.0016666666666666668,3,6.0554838737007984e-5,0.0015953744867703147,0.0015965232981488588,0.001135389188241217,0.9145786476682214,1.8450666145887007,1.844126399532773
2,3,4,384,0.2751606040745521,0.0016666666666666668,3,4.6139761492213626e-5,0.0009331445882747903,0.0009342845927323677,0.0006619458280758534,0.9450512298406929,1.8642232754983001,1.862481404530756
2,4,5,750,0.22012848325964163,0.00125,4,3.552044781951617e-5,0.0005859073928010614,0.0005869831131746775,0.0004153857082717504,1.1721896348621963,2.08564582363836,2.082897044615794
4,1,2,48,0.5503212081491045,0.0016666666666666668,3,8.759647214813e-6,0.00015108835479601355,0.00015134207073478956,0.00010696899965339787,,,
4,2,3,162,0.36688080543273643,0.00125,4,2.612813971284491e-6,3.081845387544528e-5,3.092901382394026e-5,2.1869141509693822e-5,2.9835559637530977,3.9208087271664454,3.9161148765349916
4,3,4,384,0.2751606040745521,0.001,5,1.1216408059507014e-6,1.0177742430339596e-5,1.0239361263082218e-5,7.2402579254808256e-6,2.939478170162231,3.8511626101044354,3.8426289536441214
4,4,5,750,0.22012848325964163,0.0007142857142857143,7,5.341717292312589e-7,3.953356796277658e-6,3.989281814435358e-6,2.8208419834013116e-6,3.324454216032975,4.237801970550173,4.224312184437924
